Polish,English
nie,NO
to,this
się,myself
na,on
co,What
że,That
jest,Is
do,down
tak,Yes
jak,How
mnie,me
ale,But
mi,me
za,for
ja,I
ci,you
tu,here
go,him
tego,this
tym,this
ty,you
czy,Whether
tylko,Just
po,after
jestem,I am
cię,you
ma,has
może,Maybe
już,Already
mam,I have
jesteś,You are
pan,you
coś,something
dla,For
wiem,I know
dobrze,All right
jeśli,If
od,From
teraz,Now
proszę,Please
tam,there
wszystko,All
masz,You have
więc,So
nic,nothing
być,to be
będzie,will be
gdzie,Where
są,are
on,he
mogę,I can
ten,this
ciebie,you
sobie,yourself
wiesz,You know
ze,That
bardzo,Very
jej,her
kiedy,When
był,was
jeszcze,still
nas,us
chcę,I want
mój,my
było,was
no,yeah
przez,By
by,by
pani,you
ją,I
jego,his
ich,their
dlaczego,Why
chcesz,You want
żeby,To
tutaj,here
mamy,We have
też,Too
bo,because
dobra,All right
kto,Who
nigdy,Never
przepraszam,Sorry
mu,him
naprawdę,Really
możesz,You can
chyba,I guess
porządku,okay
dziękuję,Thank you
muszę,I have to
panie,sir
właśnie,Exactly
ona,She
domu,home
zrobić,to do
nawet,even
gdy,When
prawda,TRUE
te,these
nam,us
będę,I will
zawsze,Always
bez,without
nim,him
je,eats
była,was
jesteśmy,we are
dzięki,Thanks
tej,this one
moja,My
trochę,A bit
ktoś,someone
musisz,you have to
cześć,Hi
hej,hey
lat,years
moje,my
pana,sir
musimy,we have to
dalej,next
twój,your
wszyscy,all
czas,time
chce,I want
który,which
więcej,more
tobą,you
boże,God
powiedzieć,to say
sam,alone
chodzi,goes
czego,what
ta,yeah
możemy,We can
albo,or
mną,me
razem,Together
niech,let
dobry,Good
raz,once
stało,happened
was,mustache
czym,what
prostu,simply
będziesz,you will
chodź,come
czemu,Why
przed,Before
ludzi,people
daj,give
ludzie,People
dzień,Day
przy,by
życie,life
niż,than
robisz,you do
myślę,I think
lepiej,Better
kim,who
myślisz,Do you think
miał,had
my,we
nikt,nobody
czasu,time
powiedz,Say
rzeczy,things
twoja,your
tych,these
stąd,hence
niego,him
mówi,says
im,them
temu,ago
jeden,one
pod,under
musi,has to
siebie,myself
twoje,your
powiedział,he said
oczywiście,Of course
ok,ok
moim,mine
oni,they
dwa,two
które,which
pewnie,Sure
dziś,today
kurwa,whore
wie,he knows
taki,such
aby,To
skąd,from where
cholera,cholera
dzieje,happening
wygląda,looks
wtedy,then
mojego,mine
takie,such
ile,How many
wszystkie,all
mieć,to have
dlatego,Which is why
znaczy,means
będziemy,we will
potem,then
jasne,Of course
iść,to go
dużo,A lot
cóż,Well
tę,these
byłem,I was
rozumiem,I see
wam,to you
miejsce,place
cały,whole
trzeba,it's necessary to
moją,My
można,you can
pomóc,help
jako,as
nich,them
szybko,Quick
jakiś,some
mojej,mine
nią,her
mają,May
wszystkich,everyone
jakieś,some
wiedzieć,know
swoje,own
przykro,I'm sorry
stary,old
zaraz,In a second
myśli,thinks
dzieci,kids
nad,over
wiele,many
kochanie,Honey
kilka,several
mówię,I say
mówisz,you say
zanim,before
miałem,I had
kocham,I love
świetnie,Great
tobie,you
takiego,like this
tyle,so much
robić,to do
trzy,Three
idź,go
kogoś,someone
ani,or
pewno,certainly
myślałem,I thought
widzisz,You see
kiedyś,Once
robi,does
